Company,Model,Total Units sold,Average Purchase Rate,ARPU Per Year,Q-Q Projected Growth %,Recent Quarter Sales,Next Quarter Revenue,YoY Forecasted Growth Rate,Units Sold Recent Quarter,Projected Units Sales for Next Quarter,Income Group of Potential Customers,Color
Hyundai,Sonata,9,1,16111.44444,-3,$30000,$29001,-41.99916002,1,1,Medium Income,Black
Ford,Focus,2,1,24125.5,,,$28951,,,,Medium Income,Pale White
Saturn,LS,8,1,24125.125,21,$24000,$28950,-60.20618557,,,High Income,Red
BMW,328i,11,1,21045.54545,38,$21000,$28938,-77.03333333,1,1,High Income,Red
Nissan,Xterra,4,1,31125.5,,,$28731,-84.55347494,,,High Income,Red
Ford,Expedition,11,1,19091.09091,-43,$50001,$28637,-56.61060606,3,2,Low Income,Pale White
Lexus,RX300,9,1,18000.22222,-21,$36001,$28589,,2,2,Low Income,Black
Nissan,Quest,9,1,22222.33333,,,$28572,-89.17727273,,,Medium Income,Black
Audi,A6,15,1,15200.26667,2,$28001,$28501,-32.14047619,2,2,Medium Income,Black
BMW,323i,24,1,9083.5,-55,$63502,$28435,5.314814815,5,2,Low Income,Black
Mercury,Villager,9,1,14694.66667,,,$28340,-32.52380952,,,Medium Income,Pale White
Plymouth,Breeze,7,1,30857.42857,28,$22000,$28174,-57.31406148,1,1,Medium Income,Pale White
Lexus,ES300,8,1,27000.125,-65,$81001,$28174,,2,1,Medium Income,Pale White
Honda,Accord,12,1,14000.41667,0,$28000,$28001,-66.66666667,1,1,Low Income,Red
Nissan,Xterra,6,1,31000.33333,,,$27900,,,,Low Income,Red
Nissan,Quest,4,1,32250.25,-15,$32500,$27643,-71.20520833,1,1,Medium Income,Pale White
Mercedes-B,SL-Class,13,1.083333333,18417,-46,$51002,$27626,-72.91648285,1,1,Low Income,Red
Chevrolet,Impala,10,1,22025.2,25,$22000,$27532,-58.28484848,1,1,Low Income,Red
Mitsubishi,3000GT,6,1,32000.5,-30,$39000,$27429,-76.55701136,1,1,Medium Income,Black
Mercury,Cougar,5,1,25600,,,$27429,,,,Medium Income,Pale White
Ford,Explorer,4,1,41000.5,,,$27334,-66.66626017,,,Medium Income,Red
Hyundai,Sonata,6,1,21216.83333,,,$27279,-57.10849057,,,High Income,Red
Ford,Contour,10,1,19030.2,42,$19101,$27186,,1,1,High Income,Red
Dodge,Ram Pickup,10,1,19000.5,43,$19000,$27144,-52.37894737,1,1,Medium Income,Black
Nissan,Altima,9,1,20055.77778,35,$20001,$27075,-54.87725614,1,1,Medium Income,Pale White
Mitsubishi,Mirage,1,1,9001,,,$27003,,,,Medium Income,Black
Volvo,V40,10,1,18000.5,50,$18000,$27001,-49.99814815,1,2,Low Income,Pale White
Audi,A4,4,1,27000,,,$27000,,,,Medium Income,Black
Mercedes-B,SL-Class,11,1,17172.90909,54,$17500,$26986,,1,2,High Income,Red
Mitsubishi,Eclipse,8,1,12250.375,,,$26728,-25.75555556,,,High Income,Pale White
Subaru,Forester,8,1,22250.375,-42,$46000,$26700,,2,1,Medium Income,Red
Jeep,Grand Cherokee,8,1,21013,-37,$42000,$26543,-57.87026015,2,1,High Income,Red
Chevrolet,Cavalier,7,1,20185.85714,,,$26494,-85.40299609,,,High Income,Red
Volvo,S80,8,1,22000.25,26,$21001,$26400,-58.0952381,,,Medium Income,Pale White
Mercedes-B,C-Class,15,1,14053.66667,-53,$56001,$26351,-69.01887014,3,1,High Income,Black
Audi,A4,16,1,12031.5625,9,$24001,$26251,-27.08055556,1,1,Low Income,Pale White
Dodge,Ram Pickup,3,1,46333.33333,,,$26063,,,,Medium Income,Red
Chevrolet,Cavalier,6,1,20000,29,$20000,$25714,-71.42888889,1,1,Medium Income,Red
Volvo,S40,8,1,23547.75,-24,$34001,$25688,-61.07878788,2,2,Medium Income,Red
Acura,TL,7,1,23143.14286,,,$25579,-64.47509132,,,Medium Income,Red
Porsche,Carrera Coupe,9,1,16055.88889,-47,$48000,$25501,-46.8762369,1,1,Medium Income,Black
Dodge,Avenger,9,1.125,18000,59,$16000,$25412,-73.52916667,,,Low Income,Black
Volkswagen,Cabrio,10,1,18600.3,1,$25001,$25364,,,,Medium Income,Pale White
Saturn,SL,8,1,20075.125,-58,$60601,$25358,-78.86833333,1,0,Low Income,Pale White
Mercedes-B,C-Class,12,1,14083.75,111,$12001,$25351,-58.78020227,,,Medium Income,Pale White
Dodge,Stratus,4,1,29500,-32,$37000,$25286,-49.428,1,1,Medium Income,Pale White
Chrysler,Town & Country,4,1,29500.25,49,$17000,$25286,-79.93174603,1,1,Medium Income,Pale White
Mercury,Mountaineer,4,1,21000,-40,$42000,$25200,,2,1,Low Income,Red
Volkswagen,Cabrio,2,1,25000.5,,,$25001,-66.66533333,,,Medium Income,Red
Dodge,Ram Van,7,1,27285.85714,-20,$31000,$24913,-84.90121212,1,1,Medium Income,Red
Lexus,LX470,9,1,22111.11111,13,$22000,$24875,-63.14814815,1,1,High Income,Black
Buick,Regal,10,1,19050.3,-56,$57001,$24848,-56.40931179,1,0,Medium Income,Black
Chevrolet,Monte Carlo,3,1,44000.33333,,,$24750,,,,Medium Income,Black
Volvo,S70,6,1,24666.83333,-5,$26000,$24667,-62.62575758,,,Medium Income,Black
Saab,SportCombi,2,1,41000,,,$24600,,,,Low Income,Black
Lincoln,Town car,8,1,21500,-5,$26000,$24571,-68.49871795,1,1,Medium Income,Black
Chrysler,Sebring Coupe,9,1,19944.44444,-36,$38500,$24477,,2,1,Medium Income,Red
Mitsubishi,Diamante,10,1,15500.1,,,$24474,-32.02044331,,,Medium Income,Red
Ford,Windstar,5,1,31000.2,,,$24474,,,,Medium Income,Red
Toyota,Sienna,9,1,19000.44444,-36,$38000,$24429,-57.14210526,2,1,Low Income,Red
Saturn,SL,2,1,20250,,,$24300,,,,High Income,Pale White
Lexus,GS400,8,1,22250.125,102,$12000,$24273,-92.36698113,1,2,Medium Income,Black
Chevrolet,Malibu,9,1,16033.77778,49,$16100,$24051,-50.0529562,1,1,High Income,Black
Dodge,Neon,5,1,19000.2,25,$19001,$23750,-79.16666667,1,1,Low Income,Pale White
Chevrolet,Impala,3,1,21000.33333,,,$23625,,,,Medium Income,Black
Jeep,Cherokee,6,1,28816.83333,-53,$50000,$23577,,2,1,Medium Income,Pale White
Chrysler,Sebring Coupe,15,1.071428571,12857.28571,-61,$60001,$23479,-34.78055556,5,2,Low Income,Black
Chevrolet,Monte Carlo,6,1,23334,11,$21001,$23334,-70.08461538,1,1,Medium Income,Pale White
Pontiac,Sunfire,9,1,18000.22222,29,$18000,$23143,-57.14259259,1,1,Medium Income,Black
Ford,Explorer,7,1,22000.28571,,,$23100,-65,,,Medium Income,Black
Cadillac,Eldorado,5,1,32200.2,-38,$37000,$23000,-87.63460804,1,1,Medium Income,Red
Dodge,Neon,2,1,19000,,,$22800,,,,Medium Income,Red
Chevrolet,Lumina,8,1,22784,-41,$38470,$22784,,1,1,High Income,Pale White
Chrysler,LHS,9,1,16000.11111,,,$22737,,,,High Income,Red
Chevrolet,Malibu,9,1,16000.11111,-29,$32000,$22737,-52.63125,1,1,Low Income,Black
Oldsmobile,Bravada,3,1,17667,,,$22715,,,,Medium Income,Red
Oldsmobile,Silhouette,8,1,22625.25,-33,$34000,$22625,,1,1,Medium Income,Red
Ford,Expedition,3,1,22166.66667,,,$22167,,,,Medium Income,Red
Ford,Crown Victoria,12,1,14758.58333,-68,$70000,$22138,-32.92124958,3,1,Low Income,Black
Chevrolet,Impala,8,1,22112.875,-3,$22900,$22113,,1,1,High Income,Red
Mercedes-B,CL500,8,1,22062.75,0,$22000,$22063,-66.57121212,1,1,Medium Income,Black
Dodge,Ram Wagon,7,1,22000,0,$22000,$22000,-66.66666667,1,1,Medium Income,Black
Chrysler,Cirrus,3,1,12200.66667,-9,$24002,$21961,,2,2,High Income,Pale White
Dodge,Ram Wagon,5,1,16100.4,,,$21955,-77.48274412,,,High Income,Pale White
Mercury,Mystique,2,1,29250.5,,,$21938,,,,Medium Income,Red
Chrysler,Cirrus,14,1,12000.14286,-9,$24001,$21913,-39.13055556,2,2,Low Income,Red
Chevrolet,Metro,4,1,31000.25,,,$21883,,,,Medium Income,Black
Nissan,Xterra,4,1,31000.25,,,$21883,-76.46989247,,,Low Income,Pale White
Mitsubishi,Montero,10,1,16025.1,-54,$48001,$21852,,3,1,Medium Income,Black
Dodge,Ram Wagon,5,1,16000.4,36,$16000,$21819,,1,1,Low Income,Pale White
Mercury,Mystique,5,1,29000,-25,$29000,$21750,-75,1,1,Low Income,Pale White
Mercury,Mystique,4,1,29000,-25,$29000,$21750,,1,1,Low Income,Red
Porsche,Boxter,5,1,26000.4,,,$21667,-72.22286322,,,High Income,Black
Lincoln,Navigator,9,1,19089.11111,13,$19000,$21475,-81.55116277,1,1,Medium Income,Black
Pontiac,Bonneville,8,1,17000.25,,,$21474,-34.93121629,,,Medium Income,Red
Porsche,Carrera Cabrio,5,1,27200.2,,,$21474,,,,Medium Income,Pale White
Mercedes-B,E-Class,10,1,15000.1,-29,$30001,$21429,,2,1,Low Income,Red
Chevrolet,Lumina,6,1,16666.83333,-11,$24000,$21429,-72.52692308,2,2,Medium Income,Pale White
Mercedes-B,M-Class,4,1,25000,-14,$25000,$21429,-71.428,1,1,Medium Income,Red
Dodge,Neon,6,1,19000.33333,,,$21375,-62.5,,,Low Income,Red
Plymouth,Voyager,8,1,16000.125,,,$21334,,,,Medium Income,Red
Volkswagen,Passat,6,1,14167,-18,$26000,$21251,-45.51444761,,,Medium Income,Red
Ford,Taurus,7,1,22214.42857,-4,$22001,$21205,,,,High Income,Red
Dodge,Avenger,10,1,16130.2,29,$16300,$21039,-71.08120739,1,1,High Income,Black
Honda,Accord,2,1,14000,50,$14000,$21000,,1,2,Medium Income,Red
Mercury,Cougar,7,1,22000.28571,-5,$22000,$21000,-68.18181818,1,1,Low Income,Red
Toyota,Land Cruiser,7,1,21000.14286,0,$21000,$21000,,1,1,Medium Income,Black
Mercury,Mountaineer,4,1,21000.25,0,$21000,$21000,,1,1,Medium Income,Red
Jaguar,S-Type,8,1,20125.375,31,$16000,$21000,,1,1,Medium Income,Black
Mercedes-B,S-Class,13,1,11769.53846,-50,$42001,$20864,,1,0,Medium Income,Pale White
Dodge,Ram Van,9,1,15444.88889,-33,$31000,$20851,,1,1,Medium Income,Pale White
Porsche,Carrera Cabrio,6,1,22000.5,-5,$22000,$20843,,1,1,Low Income,Black
Honda,CR-V,4,1,31175.5,,,$20784,-78.14511041,,,Medium Income,Black
Dodge,Avenger,5,1,22100,-53,$44000,$20719,,1,0,Medium Income,Pale White
BMW,528i,4,1,29000,,,$20471,,,,Medium Income,Red
Volvo,V40,9,1,18111.22222,13,$18000,$20375,-64.06525573,1,1,High Income,Pale White
Plymouth,Voyager,5,1,21700.2,-1,$20501,$20344,,,,Medium Income,Pale White
Mercury,Mountaineer,7,1.166666667,24500.33333,-76,$84001,$20046,-68.18196248,1,0,High Income,Red
Chevrolet,Camaro,5,1,21300.2,-17,$24000,$19969,-72.26643334,1,1,Medium Income,Pale White
Chevrolet,Impala,3,1,22000.66667,,,$19801,,,,Medium Income,Red
Mercedes-B,CLK Coupe,3,1,22000,-10,$22000,$19800,,,,Medium Income,Pale White
Dodge,Dakota,4,1,16500,-40,$33000,$19800,,2,1,Medium Income,Pale White
Ford,F-Series,11,1,13159.09091,52,$13000,$19739,-49.38717949,1,2,High Income,Red
Pontiac,Grand Am,7,1,19714.42857,-69,$64001,$19714,,3,1,Medium Income,Pale White
Dodge,Avenger,5,1,28800.2,-50,$39000,$19637,,1,1,Medium Income,Red
Toyota,Tacoma,2,1,36000.5,,,$19637,-81.81809765,,,Medium Income,Black
Oldsmobile,Intrigue,4,1,18000,,,$19636,-63.63703704,,,Low Income,Black
Toyota,Camry,4,1,31000.5,,,$19579,,,,Medium Income,Pale White
Ford,Escort,6,1,15167,30,$15000,$19500,,,,High Income,Pale White
Porsche,Carrera Coupe,6,1,24750.33333,-60,$48001,$19370,,2,1,Medium Income,Pale White
Nissan,Maxima,6,1,22500,-67,$58000,$19286,,1,0,Medium Income,Red
Dodge,Ram Wagon,2,1,16000,,,$19200,-60,,,Medium Income,Pale White
Dodge,Neon,4,1,19150.25,,,$19150,-67.26495726,,,High Income,Pale White
Chevrolet,Lumina,11,1,12000.27273,57,$12000,$18858,-47.61666667,1,2,Low Income,Red
Ford,Mustang,2,1,22000.5,,,$18858,,,,Medium Income,Black
Dodge,Intrepid,4,1,31025.5,-40,$31001,$18615,,1,1,High Income,Pale White
Jeep,Grand Cherokee,5,1,23500.2,20,$15500,$18553,-82.82177347,,,Medium Income,Pale White
Chrysler,Sebring Coupe,11,1,12200.27273,46,$12500,$18300,-49.16949058,1,1,High Income,Black
Oldsmobile,Intrigue,6,1,18267.16667,-67,$55602,$18267,,3,1,High Income,Black
Chevrolet,Lumina,4,1,12126,,,$18189,,,,Medium Income,Red
Mercury,Mystique,5,1,29100.2,-37,$29000,$18188,,1,1,High Income,Red
Mitsubishi,Eclipse,2,1,12000.5,,,$18001,-50.00138877,,,Medium Income,Pale White
Chevrolet,Camaro,3,1,24000.33333,,,$18000,,,,Medium Income,Red
Chrysler,LHS,3,1,16000,,,$18000,,,,Medium Income,Red
Saturn,SL,6,1,20683.5,-14,$20500,$17729,,1,1,High Income,Red
Volkswagen,GTI,5,1,23600,-29,$25000,$17700,,1,1,Medium Income,Pale White
Chevrolet,Malibu,7,1,16000.28571,-45,$32001,$17685,,,,Medium Income,Black
Ford,Taurus,4,1,22000.25,,,$17600,-73.33333333,,,Medium Income,Red
Volkswagen,Passat,9,1,14333.44444,-66,$51000,$17591,,1,0,Medium Income,Black
Hyundai,Sonata,5,1,21000,,,$17500,-72.22222222,,,Medium Income,Red
Chrysler,300M,8,1,16000.375,9,$16001,$17455,-81.81884466,,,Medium Income,Red
Saturn,SL,11,1,11000.18182,-61,$44002,$17286,-47.61818182,3,1,Low Income,Black
Mercury,Mystique,14,1,9036.071429,-52,$36001,$17251,-36.1145058,4,2,Low Income,Black
Chevrolet,Camaro,5,1,24080.2,-29,$24300,$17200,,1,1,High Income,Red
BMW,328i,6,1,21000.5,-18,$21000,$17182,-72.72698413,1,1,Medium Income,Red
Audi,A4,10,1,12000.1,43,$12000,$17143,-52.38055556,1,1,Medium Income,Pale White
Mitsubishi,Eclipse,9,1,12000.22222,,,$17053,,,,Low Income,Pale White
Saturn,SW,3,1,36000.33333,,,$17053,,,,Medium Income,Black
Dodge,Intrepid,4,1,31000.25,-45,$31000,$16909,-81.81886606,1,1,Low Income,Pale White
Volkswagen,GTI,4,1,25125.5,-33,$25000,$16750,,1,1,Medium Income,Red
Jeep,Wrangler,8,1,16750.125,29,$13001,$16750,-65.10416667,1,1,Medium Income,Red
Dodge,Neon,4,1,19250,,,$16500,,,,High Income,Red
Cadillac,Seville,2,1,22000.5,,,$16500,,,,Medium Income,Pale White
Ford,Escort,8,1,15062.875,10,$15000,$16432,-75.92486777,1,1,Low Income,Pale White
Dodge,Durango,3,1,31000,-47,$31000,$16412,,1,1,Medium Income,Red
Cadillac,Eldorado,3,1,31000.33333,,,$16412,,,,Medium Income,Pale White
Mercedes-B,SLK,5,1,26250.4,-39,$26750,$16407,-78.96592395,1,1,High Income,Black
Dodge,Ram Van,2,1,60000,-73,$60000,$16364,,1,0,Medium Income,Black
Saturn,SW,3,1,25000.66667,-36,$25000,$16072,-89.2857619,1,1,Medium Income,Red
Hyundai,Accent,5,1,18200,-11,$18000,$16059,-71.06486486,1,1,Medium Income,Black
Ford,Escort,6,1,15133.33333,-47,$30000,$16024,-64.39111111,2,1,High Income,Red
Mercedes-B,C-Class,6,1,15000.33333,6,$15001,$15883,-64.70444444,,,Low Income,Red
Mercedes-B,S-Class,3,1,21166.66667,,,$15875,,,,Medium Income,Red
Volvo,S70,6,1,21134,-63,$42301,$15851,,1,0,High Income,Red
Nissan,Altima,4,1,21125.75,,,$15844,-75.43680139,,,High Income,Red
Lexus,LX470,5,1,22100,-30,$22500,$15786,-76.08181818,1,1,Medium Income,Black
Honda,Accord,7,1,14228.71429,,,$15726,-62.55981716,,,High Income,Red
Hyundai,Sonata,6,1.2,18800.2,-40,$26000,$15667,,,,Medium Income,Pale White
Saturn,LS,5,1,24000.2,-67,$48001,$15652,-78.26111111,2,1,Low Income,Red
Toyota,Sienna,5,1,19120,,,$15095,,,,High Income,Red
Jeep,Cherokee,6,1,14233.66667,-46,$28101,$15071,-82.37309942,2,1,High Income,Red
BMW,323i,5,1,9000.2,67,$9000,$15000,,1,2,Medium Income,Black
Ford,Taurus,4,1,22000.25,,,$14667,,,,Low Income,Pale White
Chrysler,Sebring Conv.,6,1,16216.83333,-9,$16000,$14595,-54.39205025,1,1,High Income,Black
Subaru,Forester,5,1,21376.6,-64,$40881,$14575,,1,0,Medium Income,Pale White
Buick,Century,4,1,17000.25,-71,$51001,$14572,-71.42745098,1,0,Medium Income,Pale White
Chrysler,Cirrus,7,1,13828.57143,,,$14520,-59.66666667,,,High Income,Red
Dodge,Intrepid,3,1,11167,31,$11001,$14358,,,,Medium Income,Black
Volvo,S70,2,1,21000,,,$14000,-77.77777778,,,Low Income,Red
Toyota,4Runner,2,1,25500.5,,,$13909,,,,Medium Income,Black
Chevrolet,Metro,2,1,37000,,,$13875,,,,Medium Income,Red
Mercedes-B,E-Class,4,1,15000.5,,,$13847,,,,High Income,Red
Lexus,GS300,4,1,17125.75,-19,$17001,$13701,-73.1368743,1,1,High Income,Pale White
Ford,Escort,7,1,15000.42857,-54,$30001,$13696,,1,0,Low Income,Red
Volvo,S80,2,1,25000,,,$13636,,,,Medium Income,Red
Chevrolet,Lumina,9,1,12055.77778,-45,$24500,$13563,-62.325,2,1,High Income,Red
Mitsubishi,Mirage,12,1,9041.75,-27,$18500,$13563,-49.76666667,2,1,Low Income,Black
Lexus,RX300,5,1,18060,,,$13545,-74.91666667,,,High Income,Black
Buick,Park Avenue,3,1,12000.33333,13,$12000,$13500,,1,1,Medium Income,Red
Mercedes-B,SLK,3,1,19000,,,$13154,,,,High Income,Red
Honda,Passport,3,1,23333.33333,-73,$48000,$13125,,,,Medium Income,Black
Volkswagen,Cabrio,4,1,25150.25,-48,$25100,$13122,,1,1,High Income,Red
Chrysler,Concorde,7,1,13714.42857,-45,$24001,$13091,-63.63611111,2,1,Medium Income,Black
Chrysler,LHS,6,1,16000,-59,$32000,$13091,-72.72708333,2,1,Low Income,Red
Nissan,Xterra,3,1,20333.33333,,,$13071,,,,Medium Income,Black
Ford,Crown Victoria,3,1,29000,,,$13050,,,,Medium Income,Red
Dodge,Dakota,5,1,12140.2,,,$13007,-47.34008097,,,High Income,Red
Mercedes-B,C-Class,6,1,15125.5,,,$12965,-72.12007827,,,High Income,Red
Jaguar,S-Type,3,1,20000,-36,$20000,$12857,-78.57166667,1,1,Medium Income,Pale White
Toyota,Avalon,4,1,18000,-29,$18000,$12706,,1,1,High Income,Pale White
Chrysler,Concorde,3,1,19416.66667,,,$12482,-78.66324786,,,High Income,Red
Volvo,V40,3,1,18000,-31,$18000,$12462,-88.46111111,1,1,Medium Income,Pale White
Pontiac,Bonneville,4,1,17375,-69,$39000,$12265,-62.83333333,2,1,Medium Income,Pale White
Audi,A8,4,1,13125,,,$12115,-68.93589744,,,Low Income,Pale White
Dodge,Avenger,2,1,16000.5,,,$12000,-75,,,Medium Income,Black
Chrysler,Sebring Coupe,3,1,12000.33333,,,$12000,,,,Medium Income,Black
Audi,A8,3,1,13200.66667,,,$11881,-70.88204299,,,High Income,Red
Oldsmobile,Alero,3,1,17000,,,$11769,-76.92352941,,,Medium Income,Black
Dodge,Caravan,3,1,23000,-50,$23000,$11500,-83.33333333,1,1,Medium Income,Black
Nissan,Altima,2,1,21000,,,$11455,,,,Medium Income,Red
Lexus,GS300,2,1,17000.5,,,$11334,,,,Medium Income,Pale White
Ford,Escort,3,1,15000.33333,,,$11250,,,,Medium Income,Red
Ford,Crown Victoria,3,1,11200.33333,,,$11200,-66.21621622,,,High Income,Black
Chrysler,Cirrus,4,1,12125,,,$11192,,,,Medium Income,Red
Ford,Contour,3,1,19000,-72,$38000,$10688,,2,1,Medium Income,Red
Saturn,SL,5,1,11280.2,,,$10575,-68.66666667,,,High Income,Black
Honda,CR-V,3,1,21000,-13,$12000,$10500,,1,1,Medium Income,Red
Chrysler,Sebring Conv.,3,1,16233.33333,,,$10436,,,,Low Income,Black
Audi,A8,4,1,13000.25,-20,$13000,$10400,-73.33333333,1,1,Low Income,Red
Porsche,Boxter,3,1,24000,-57,$24000,$10286,,1,0,Medium Income,Red
Dodge,Dakota,6,1,12000.16667,-14,$12000,$10286,-71.42777778,,,Low Income,Red
Chevrolet,Corvette,3,1,26000,-80,$52000,$10174,,2,0,Medium Income,Black
Ford,F-Series,2,1,13500.5,,,$10125,,,,Medium Income,Pale White
Mercedes-B,M-Class,3,1,18000,-44,$18000,$10125,,1,1,Medium Income,Black
Mercury,Mystique,7,1,9378.571429,5,$9400,$9848,,1,1,High Income,Black
Mercedes-B,CL500,2,1,29000.5,-67,$29001,$9667,,1,0,Medium Income,Pale White
Mitsubishi,Mirage,6,1,9117,,,$9653,,,,High Income,Black
Dodge,Neon,2,1,19250,,,$9625,,,,Medium Income,Pale White
Ford,Focus,4,1,17000.75,-45,$17000,$9273,,1,1,Medium Income,Red
BMW,328i,2,1,21250.5,,,$9107,,,,Medium Income,Pale White
Mercury,Cougar,3,1,22000,-59,$22000,$9000,,,,Medium Income,Red
Mercedes-B,E-Class,4,1,15000.5,-40,$15000,$9000,,1,1,Medium Income,Red
Ford,Escort,5,1,11400.4,-18,$11001,$9000,,1,1,Medium Income,Black
Saturn,SL,2,1,21000.5,,,$9000,,,,Medium Income,Red
Nissan,Sentra,2,1,16000,,,$8727,,,,Medium Income,Black
Mercedes-B,SLK,2,1,19250,-58,$19500,$8250,-85.52631579,1,0,Medium Income,Red
Oldsmobile,Bravada,4,1.333333333,21333.66667,-47,$15000,$8000,-85.96491228,1,1,Medium Income,Pale White
Chevrolet,Impala,3,1,14000.33333,-44,$14000,$7875,,1,1,Medium Income,Pale White
Dodge,Dakota,3,1,12000.33333,,,$7715,,,,Medium Income,Red
Oldsmobile,Intrigue,3,1,18166.66667,-59,$18000,$7432,,1,0,Medium Income,Black
Mercury,Mystique,2,1,9250,,,$6938,,,,Medium Income,Black
Lexus,LS400,3,1,17000,-49,$13000,$6652,-82.94358974,1,1,Medium Income,Red
Toyota,Avalon,2,1,18000,-65,$18000,$6353,,,,Medium Income,Pale White
Volkswagen,Cabrio,2,1,16000,-63,$16000,$6000,,1,0,Medium Income,Black
Mercedes-B,C-Class,2,1,14250,-59,$14000,$5700,-86.89655172,1,0,Medium Income,Black
Jeep,Cherokee,2,1,14250,-64,$14000,$5029,,1,0,Medium Income,Red
